image,pokemon_name,type1,type2
aerodactyl__0009.png,aerodactyl,rock,flying
aerodactyl__0010.png,aerodactyl,rock,flying
aerodactyl__0011.png,aerodactyl,rock,flying
aerodactyl__0012.png,aerodactyl,rock,flying
aerodactyl__0013.png,aerodactyl,rock,flying
aerodactyl__0014.png,aerodactyl,rock,flying
aerodactyl__0015.png,aerodactyl,rock,flying
aerodactyl__0016.png,aerodactyl,rock,flying
aerodactyl__0017.png,aerodactyl,rock,flying
aerodactyl__0018.png,aerodactyl,rock,flying
aerodactyl__0019.png,aerodactyl,rock,flying
aerodactyl__0020.png,aerodactyl,rock,flying
aerodactyl__0021.png,aerodactyl,rock,flying
aerodactyl__0022.png,aerodactyl,rock,flying
aerodactyl__0023.png,aerodactyl,rock,flying
aerodactyl__0024.png,aerodactyl,rock,flying
aerodactyl__0025.png,aerodactyl,rock,flying
aerodactyl__0026.png,aerodactyl,rock,flying
aerodactyl__0027.png,aerodactyl,rock,flying
aerodactyl__0028.png,aerodactyl,rock,flying
aerodactyl__0029.png,aerodactyl,rock,flying
aggron__0000.png,aggron,steel,rock
aggron__0001.png,aggron,steel,rock
aggron__0002.png,aggron,steel,rock
aggron__0003.png,aggron,steel,rock
aggron__0004.png,aggron,steel,rock
aggron__0005.png,aggron,steel,rock
aggron__0006.png,aggron,steel,rock
aggron__0007.png,aggron,steel,rock
aggron__0008.png,aggron,steel,rock
aggron__0009.png,aggron,steel,rock
aggron__0010.png,aggron,steel,rock
aggron__0011.png,aggron,steel,rock
aggron__0012.png,aggron,steel,rock
aggron__0013.png,aggron,steel,rock
aggron__0014.png,aggron,steel,rock
aggron__0015.png,aggron,steel,rock
aggron__0016.png,aggron,steel,rock
aggron__0017.png,aggron,steel,rock
aggron__0018.png,aggron,steel,rock
aggron__0019.png,aggron,steel,rock
aggron__0020.png,aggron,steel,rock
aggron__0021.png,aggron,steel,rock
aggron__0022.png,aggron,steel,rock
aggron__0023.png,aggron,steel,rock
aipom__0000.png,aipom,normal,
aipom__0001.png,aipom,normal,
aipom__0002.png,aipom,normal,
aipom__0003.png,aipom,normal,
aipom__0004.png,aipom,normal,
aipom__0005.png,aipom,normal,
aipom__0006.png,aipom,normal,
aipom__0007.png,aipom,normal,
aipom__0008.png,aipom,normal,
aipom__0009.png,aipom,normal,
aipom__0010.png,aipom,normal,
aipom__0011.png,aipom,normal,
aipom__0012.png,aipom,normal,
aipom__0013.png,aipom,normal,
aipom__0014.png,aipom,normal,
aipom__0015.png,aipom,normal,
aipom__0016.png,aipom,normal,
alakazam__0000.png,alakazam,psychic,
alakazam__0001.png,alakazam,psychic,
alakazam__0002.png,alakazam,psychic,
alakazam__0003.png,alakazam,psychic,
alakazam__0004.png,alakazam,psychic,
alakazam__0005.png,alakazam,psychic,
alakazam__0006.png,alakazam,psychic,
alakazam__0007.png,alakazam,psychic,
alakazam__0008.png,alakazam,psychic,
alakazam__0009.png,alakazam,psychic,
alakazam__0010.png,alakazam,psychic,
alakazam__0011.png,alakazam,psychic,
alakazam__0012.png,alakazam,psychic,
alakazam__0013.png,alakazam,psychic,
alakazam__0014.png,alakazam,psychic,
alakazam__0015.png,alakazam,psychic,
alakazam__0016.png,alakazam,psychic,
alakazam__0017.png,alakazam,psychic,
alakazam__0018.png,alakazam,psychic,
alakazam__0019.png,alakazam,psychic,
alakazam__0020.png,alakazam,psychic,
alakazam__0021.png,alakazam,psychic,
alakazam__0022.png,alakazam,psychic,
alakazam__0023.png,alakazam,psychic,
alakazam__0024.png,alakazam,psychic,
alakazam__0025.png,alakazam,psychic,
alakazam__0026.png,alakazam,psychic,
alakazam__0027.png,alakazam,psychic,
alakazam__0028.png,alakazam,psychic,
alakazam__0029.png,alakazam,psychic,
alakazam__0030.png,alakazam,psychic,
alakazam__0031.png,alakazam,psychic,
altaria__0000.png,altaria,dragon,flying
altaria__0001.png,altaria,dragon,flying
altaria__0002.png,altaria,dragon,flying
altaria__0003.png,altaria,dragon,flying
altaria__0004.png,altaria,dragon,flying
altaria__0005.png,altaria,dragon,flying
altaria__0006.png,altaria,dragon,flying
altaria__0007.png,altaria,dragon,flying
altaria__0008.png,altaria,dragon,flying
altaria__0009.png,altaria,dragon,flying
altaria__0010.png,altaria,dragon,flying
altaria__0011.png,altaria,dragon,flying
altaria__0012.png,altaria,dragon,flying
altaria__0013.png,altaria,dragon,flying
altaria__0014.png,altaria,dragon,flying
altaria__0015.png,altaria,dragon,flying
altaria__0016.png,altaria,dragon,flying
altaria__0017.png,altaria,dragon,flying
amaura__0000.png,amaura,rock,ice
amaura__0001.png,amaura,rock,ice
amaura__0002.png,amaura,rock,ice
amaura__0003.png,amaura,rock,ice
amaura__0004.png,amaura,rock,ice
amaura__0005.png,amaura,rock,ice
amaura__0006.png,amaura,rock,ice
amaura__0007.png,amaura,rock,ice
amaura__0008.png,amaura,rock,ice
amaura__0009.png,amaura,rock,ice
amaura__0010.png,amaura,rock,ice
amaura__0011.png,amaura,rock,ice
amaura__0012.png,amaura,rock,ice
ambipom__0000.png,ambipom,normal,
ambipom__0001.png,ambipom,normal,
ambipom__0002.png,ambipom,normal,
ambipom__0003.png,ambipom,normal,
ambipom__0004.png,ambipom,normal,
ambipom__0005.png,ambipom,normal,
ambipom__0006.png,ambipom,normal,
ambipom__0007.png,ambipom,normal,
ambipom__0008.png,ambipom,normal,
ambipom__0009.png,ambipom,normal,
ambipom__0010.png,ambipom,normal,
ambipom__0011.png,ambipom,normal,
ambipom__0012.png,ambipom,normal,
ambipom__0013.png,ambipom,normal,
ambipom__0014.png,ambipom,normal,
ambipom__0015.png,ambipom,normal,
ambipom__0016.png,ambipom,normal,
ampharos__0000.png,ampharos,electric,
ampharos__0001.png,ampharos,electric,
ampharos__0002.png,ampharos,electric,
ampharos__0003.png,ampharos,electric,
ampharos__0004.png,ampharos,electric,
ampharos__0005.png,ampharos,electric,
ampharos__0006.png,ampharos,electric,
ampharos__0007.png,ampharos,electric,
ampharos__0008.png,ampharos,electric,
ampharos__0009.png,ampharos,electric,
ampharos__0010.png,ampharos,electric,
ampharos__0011.png,ampharos,electric,
ampharos__0012.png,ampharos,electric,
ampharos__0013.png,ampharos,electric,
ampharos__0014.png,ampharos,electric,
ampharos__0015.png,ampharos,electric,
ampharos__0016.png,ampharos,electric,
ampharos__0017.png,ampharos,electric,
ampharos__0018.png,ampharos,electric,
ampharos__0019.png,ampharos,electric,
ampharos__0020.png,ampharos,electric,
ampharos__0021.png,ampharos,electric,
ampharos__0022.png,ampharos,electric,
ampharos__0023.png,ampharos,electric,
ampharos__0024.png,ampharos,electric,
ampharos__0025.png,ampharos,electric,
ampharos__0026.png,ampharos,electric,
ampharos__0027.png,ampharos,electric,
ampharos__0028.png,ampharos,electric,
anorith__0000.png,anorith,rock,bug
anorith__0001.png,anorith,rock,bug
anorith__0002.png,anorith,rock,bug
anorith__0003.png,anorith,rock,bug
anorith__0004.png,anorith,rock,bug
anorith__0005.png,anorith,rock,bug
anorith__0006.png,anorith,rock,bug
anorith__0007.png,anorith,rock,bug
anorith__0008.png,anorith,rock,bug
anorith__0009.png,anorith,rock,bug
anorith__0010.png,anorith,rock,bug
anorith__0011.png,anorith,rock,bug
anorith__0012.png,anorith,rock,bug
anorith__0013.png,anorith,rock,bug
anorith__0014.png,anorith,rock,bug
anorith__0015.png,anorith,rock,bug
anorith__0016.png,anorith,rock,bug
anorith__0017.png,anorith,rock,bug
anorith__0018.png,anorith,rock,bug
anorith__0019.png,anorith,rock,bug
anorith__0020.png,anorith,rock,bug
arbok__0000.png,arbok,poison,
arbok__0001.png,arbok,poison,
arbok__0002.png,arbok,poison,
arbok__0003.png,arbok,poison,
arbok__0004.png,arbok,poison,
arbok__0005.png,arbok,poison,
arbok__0006.png,arbok,poison,
arbok__0007.png,arbok,poison,
arbok__0008.png,arbok,poison,
arbok__0009.png,arbok,poison,
arbok__0010.png,arbok,poison,
arbok__0011.png,arbok,poison,
arbok__0012.png,arbok,poison,
arbok__0013.png,arbok,poison,
arbok__0014.png,arbok,poison,
arbok__0015.png,arbok,poison,
arbok__0016.png,arbok,poison,
arbok__0017.png,arbok,poison,
arbok__0018.png,arbok,poison,
arbok__0019.png,arbok,poison,
arbok__0020.png,arbok,poison,
arbok__0021.png,arbok,poison,
arbok__0022.png,arbok,poison,
arbok__0023.png,arbok,poison,
arbok__0024.png,arbok,poison,
arbok__0025.png,arbok,poison,
arbok__0026.png,arbok,poison,
arbok__0027.png,arbok,poison,
arbok__0028.png,arbok,poison,
arbok__0029.png,arbok,poison,
arbok__0030.png,arbok,poison,
arbok__0031.png,arbok,poison,
arbok__0032.png,arbok,poison,
arbok__0033.png,arbok,poison,
arbok__0034.png,arbok,poison,
arbok__0035.png,arbok,poison,
arbok__0036.png,arbok,poison,
arcanine__0000.png,arcanine,fire,
arcanine__0001.png,arcanine,fire,
arcanine__0002.png,arcanine,fire,
arcanine__0003.png,arcanine,fire,
arcanine__0004.png,arcanine,fire,
arcanine__0005.png,arcanine,fire,
arcanine__0006.png,arcanine,fire,
arcanine__0007.png,arcanine,fire,
arcanine__0008.png,arcanine,fire,
arcanine__0009.png,arcanine,fire,
arcanine__0010.png,arcanine,fire,
arcanine__0011.png,arcanine,fire,
arcanine__0012.png,arcanine,fire,
arcanine__0013.png,arcanine,fire,
arcanine__0014.png,arcanine,fire,
arcanine__0015.png,arcanine,fire,
arcanine__0016.png,arcanine,fire,
arcanine__0017.png,arcanine,fire,
arcanine__0018.png,arcanine,fire,
arcanine__0019.png,arcanine,fire,
arcanine__0020.png,arcanine,fire,
arcanine__0021.png,arcanine,fire,
arcanine__0022.png,arcanine,fire,
arcanine__0023.png,arcanine,fire,
arcanine__0024.png,arcanine,fire,
arcanine__0025.png,arcanine,fire,
arcanine__0026.png,arcanine,fire,
arcanine__0027.png,arcanine,fire,
arcanine__0028.png,arcanine,fire,
arcanine__0029.png,arcanine,fire,
arcanine__0030.png,arcanine,fire,
arcanine__0031.png,arcanine,fire,
arceus__0000.png,arceus,normal,
arceus__0001.png,arceus,normal,
arceus__0002.png,arceus,normal,
arceus__0003.png,arceus,normal,
arceus__0004.png,arceus,normal,
arceus__0005.png,arceus,normal,
arceus__0006.png,arceus,normal,
arceus__0007.png,arceus,normal,
arceus__0008.png,arceus,normal,
arceus__0009.png,arceus,normal,
arceus__0010.png,arceus,normal,
arceus__0011.png,arceus,normal,
arceus__0012.png,arceus,normal,
arceus__0013.png,arceus,normal,
arceus__0014.png,arceus,normal,
arceus__0015.png,arceus,normal,
arceus__0016.png,arceus,normal,
arceus__0017.png,arceus,normal,
arceus__0018.png,arceus,normal,
arceus__0019.png,arceus,normal,
arceus__0020.png,arceus,normal,
arceus__0021.png,arceus,normal,
arceus__0022.png,arceus,normal,
arceus__0023.png,arceus,normal,
ariados__0000.png,ariados,bug,poison
ariados__0001.png,ariados,bug,poison
ariados__0002.png,ariados,bug,poison
ariados__0003.png,ariados,bug,poison
ariados__0004.png,ariados,bug,poison
ariados__0005.png,ariados,bug,poison
ariados__0006.png,ariados,bug,poison
ariados__0007.png,ariados,bug,poison
ariados__0008.png,ariados,bug,poison
ariados__0009.png,ariados,bug,poison
ariados__0010.png,ariados,bug,poison
ariados__0011.png,ariados,bug,poison
ariados__0012.png,ariados,bug,poison
ariados__0013.png,ariados,bug,poison
ariados__0014.png,ariados,bug,poison
ariados__0015.png,ariados,bug,poison
ariados__0016.png,ariados,bug,poison
ariados__0017.png,ariados,bug,poison
ariados__0018.png,ariados,bug,poison
ariados__0019.png,ariados,bug,poison
ariados__0020.png,ariados,bug,poison
ariados__0021.png,ariados,bug,poison
ariados__0022.png,ariados,bug,poison
armaldo__0000.png,armaldo,rock,bug
armaldo__0001.png,armaldo,rock,bug
armaldo__0002.png,armaldo,rock,bug
armaldo__0003.png,armaldo,rock,bug
armaldo__0004.png,armaldo,rock,bug
armaldo__0005.png,armaldo,rock,bug
armaldo__0006.png,armaldo,rock,bug
armaldo__0007.png,armaldo,rock,bug
armaldo__0008.png,armaldo,rock,bug
armaldo__0009.png,armaldo,rock,bug
armaldo__0010.png,armaldo,rock,bug
armaldo__0011.png,armaldo,rock,bug
armaldo__0012.png,armaldo,rock,bug
armaldo__0013.png,armaldo,rock,bug
armaldo__0014.png,armaldo,rock,bug
armaldo__0015.png,armaldo,rock,bug
armaldo__0016.png,armaldo,rock,bug
armaldo__0017.png,armaldo,rock,bug
armaldo__0018.png,armaldo,rock,bug
armaldo__0019.png,armaldo,rock,bug
armaldo__0020.png,armaldo,rock,bug
armaldo__0021.png,armaldo,rock,bug
armaldo__0022.png,armaldo,rock,bug
armaldo__0023.png,armaldo,rock,bug
armaldo__0024.png,armaldo,rock,bug
armaldo__0025.png,armaldo,rock,bug
armaldo__0026.png,armaldo,rock,bug
armaldo__0027.png,armaldo,rock,bug
armaldo__0028.png,armaldo,rock,bug
armaldo__0029.png,armaldo,rock,bug
armaldo__0030.png,armaldo,rock,bug
aron__0000.png,aron,steel,rock
aron__0001.png,aron,steel,rock
aron__0002.png,aron,steel,rock
aron__0003.png,aron,steel,rock
aron__0004.png,aron,steel,rock
aron__0005.png,aron,steel,rock
aron__0006.png,aron,steel,rock
aron__0007.png,aron,steel,rock
aron__0008.png,aron,steel,rock
aron__0009.png,aron,steel,rock
aron__0010.png,aron,steel,rock
aron__0011.png,aron,steel,rock
aron__0012.png,aron,steel,rock
articuno__0000.png,articuno,ice,flying
articuno__0001.png,articuno,ice,flying
articuno__0002.png,articuno,ice,flying
articuno__0003.png,articuno,ice,flying
articuno__0004.png,articuno,ice,flying
articuno__0005.png,articuno,ice,flying
articuno__0006.png,articuno,ice,flying
articuno__0007.png,articuno,ice,flying
articuno__0008.png,articuno,ice,flying
articuno__0009.png,articuno,ice,flying
articuno__0010.png,articuno,ice,flying
articuno__0011.png,articuno,ice,flying
articuno__0012.png,articuno,ice,flying
articuno__0013.png,articuno,ice,flying
articuno__0014.png,articuno,ice,flying
articuno__0015.png,articuno,ice,flying
articuno__0016.png,articuno,ice,flying
articuno__0017.png,articuno,ice,flying
articuno__0018.png,articuno,ice,flying
articuno__0019.png,articuno,ice,flying
articuno__0020.png,articuno,ice,flying
articuno__0021.png,articuno,ice,flying
articuno__0022.png,articuno,ice,flying
articuno__0023.png,articuno,ice,flying
articuno__0024.png,articuno,ice,flying
articuno__0025.png,articuno,ice,flying
articuno__0026.png,articuno,ice,flying
articuno__0027.png,articuno,ice,flying
articuno__0028.png,articuno,ice,flying
aurorus__0000.png,aurorus,rock,ice
aurorus__0001.png,aurorus,rock,ice
aurorus__0002.png,aurorus,rock,ice
aurorus__0003.png,aurorus,rock,ice
aurorus__0004.png,aurorus,rock,ice
aurorus__0005.png,aurorus,rock,ice
aurorus__0006.png,aurorus,rock,ice
aurorus__0007.png,aurorus,rock,ice
aurorus__0008.png,aurorus,rock,ice
aurorus__0009.png,aurorus,rock,ice
aurorus__0010.png,aurorus,rock,ice
aurorus__0011.png,aurorus,rock,ice
aurorus__0012.png,aurorus,rock,ice
aurorus__0013.png,aurorus,rock,ice
aurorus__0014.png,aurorus,rock,ice
aurorus__0015.png,aurorus,rock,ice
axew__0000.png,axew,dragon,
axew__0001.png,axew,dragon,
axew__0002.png,axew,dragon,
axew__0003.png,axew,dragon,
axew__0004.png,axew,dragon,
axew__0005.png,axew,dragon,
axew__0006.png,axew,dragon,
axew__0007.png,axew,dragon,
axew__0008.png,axew,dragon,
axew__0009.png,axew,dragon,
axew__0010.png,axew,dragon,
axew__0011.png,axew,dragon,
axew__0012.png,axew,dragon,
axew__0013.png,axew,dragon,
axew__0014.png,axew,dragon,
axew__0015.png,axew,dragon,
azumarill__0000.png,azumarill,water,fairy
azumarill__0001.png,azumarill,water,fairy
azumarill__0002.png,azumarill,water,fairy
azumarill__0003.png,azumarill,water,fairy
azumarill__0004.png,azumarill,water,fairy
azumarill__0005.png,azumarill,water,fairy
azumarill__0006.png,azumarill,water,fairy
azumarill__0007.png,azumarill,water,fairy
azumarill__0008.png,azumarill,water,fairy
azumarill__0009.png,azumarill,water,fairy
azumarill__0010.png,azumarill,water,fairy
azumarill__0011.png,azumarill,water,fairy
azumarill__0012.png,azumarill,water,fairy
azumarill__0013.png,azumarill,water,fairy
azumarill__0014.png,azumarill,water,fairy
azumarill__0015.png,azumarill,water,fairy
azumarill__0016.png,azumarill,water,fairy
azumarill__0017.png,azumarill,water,fairy
azumarill__0018.png,azumarill,water,fairy
azumarill__0019.png,azumarill,water,fairy
azurill__0000.png,azurill,normal,fairy
azurill__0001.png,azurill,normal,fairy
azurill__0002.png,azurill,normal,fairy
azurill__0003.png,azurill,normal,fairy
azurill__0004.png,azurill,normal,fairy
azurill__0005.png,azurill,normal,fairy
azurill__0006.png,azurill,normal,fairy
azurill__0007.png,azurill,normal,fairy
azurill__0008.png,azurill,normal,fairy
azurill__0009.png,azurill,normal,fairy
azurill__0010.png,azurill,normal,fairy
azurill__0011.png,azurill,normal,fairy
azurill__0012.png,azurill,normal,fairy
azurill__0013.png,azurill,normal,fairy
azurill__0014.png,azurill,normal,fairy
azurill__0015.png,azurill,normal,fairy
azurill__0016.png,azurill,normal,fairy
azurill__0017.png,azurill,normal,fairy
azurill__0018.png,azurill,normal,fairy
azurill__0019.png,azurill,normal,fairy
bagon__0000.png,bagon,dragon,
bagon__0001.png,bagon,dragon,
bagon__0002.png,bagon,dragon,
bagon__0003.png,bagon,dragon,
bagon__0004.png,bagon,dragon,
bagon__0005.png,bagon,dragon,
bagon__0006.png,bagon,dragon,
bagon__0007.png,bagon,dragon,
bagon__0008.png,bagon,dragon,
bagon__0009.png,bagon,dragon,
bagon__0010.png,bagon,dragon,
bagon__0011.png,bagon,dragon,
bagon__0012.png,bagon,dragon,
bagon__0013.png,bagon,dragon,
bagon__0014.png,bagon,dragon,
baltoy__0000.png,baltoy,ground,psychic
baltoy__0001.png,baltoy,ground,psychic
baltoy__0002.png,baltoy,ground,psychic
baltoy__0003.png,baltoy,ground,psychic
baltoy__0004.png,baltoy,ground,psychic
baltoy__0005.png,baltoy,ground,psychic
baltoy__0006.png,baltoy,ground,psychic
baltoy__0007.png,baltoy,ground,psychic
banette__0000.png,banette,ghost,
banette__0001.png,banette,ghost,
banette__0002.png,banette,ghost,
banette__0003.png,banette,ghost,
banette__0004.png,banette,ghost,
banette__0005.png,banette,ghost,
banette__0006.png,banette,ghost,
banette__0007.png,banette,ghost,
banette__0008.png,banette,ghost,
banette__0009.png,banette,ghost,
banette__0010.png,banette,ghost,
banette__0011.png,banette,ghost,
banette__0012.png,banette,ghost,
banette__0013.png,banette,ghost,
banette__0014.png,banette,ghost,
banette__0015.png,banette,ghost,
banette__0016.png,banette,ghost,
banette__0017.png,banette,ghost,
banette__0018.png,banette,ghost,
banette__0019.png,banette,ghost,
banette__0020.png,banette,ghost,
banette__0021.png,banette,ghost,
banette__0022.png,banette,ghost,
banette__0023.png,banette,ghost,
banette__0024.png,banette,ghost,
banette__0025.png,banette,ghost,
barboach__0000.png,barboach,water,ground
barboach__0001.png,barboach,water,ground
barboach__0002.png,barboach,water,ground
barboach__0003.png,barboach,water,ground
barboach__0004.png,barboach,water,ground
barboach__0005.png,barboach,water,ground
barboach__0006.png,barboach,water,ground
barboach__0007.png,barboach,water,ground
barboach__0008.png,barboach,water,ground
barboach__0009.png,barboach,water,ground
barboach__0010.png,barboach,water,ground
barboach__0011.png,barboach,water,ground
bastiodon__0000.png,bastiodon,rock,steel
bastiodon__0001.png,bastiodon,rock,steel
bastiodon__0002.png,bastiodon,rock,steel
bastiodon__0003.png,bastiodon,rock,steel
bastiodon__0004.png,bastiodon,rock,steel
bastiodon__0005.png,bastiodon,rock,steel
bastiodon__0006.png,bastiodon,rock,steel
bastiodon__0007.png,bastiodon,rock,steel
bastiodon__0008.png,bastiodon,rock,steel
bastiodon__0009.png,bastiodon,rock,steel
bastiodon__0010.png,bastiodon,rock,steel
bastiodon__0011.png,bastiodon,rock,steel
bastiodon__0012.png,bastiodon,rock,steel
bayleef__0000.png,bayleef,grass,
bayleef__0001.png,bayleef,grass,
bayleef__0002.png,bayleef,grass,
bayleef__0003.png,bayleef,grass,
bayleef__0004.png,bayleef,grass,
bayleef__0005.png,bayleef,grass,
bayleef__0006.png,bayleef,grass,
bayleef__0007.png,bayleef,grass,
bayleef__0008.png,bayleef,grass,
bayleef__0009.png,bayleef,grass,
bayleef__0010.png,bayleef,grass,
bayleef__0011.png,bayleef,grass,
bayleef__0012.png,bayleef,grass,
bayleef__0013.png,bayleef,grass,
bayleef__0014.png,bayleef,grass,
bayleef__0015.png,bayleef,grass,
beautifly__0000.png,beautifly,bug,flying
beautifly__0001.png,beautifly,bug,flying
beautifly__0002.png,beautifly,bug,flying
beautifly__0003.png,beautifly,bug,flying
beautifly__0004.png,beautifly,bug,flying
beautifly__0005.png,beautifly,bug,flying
beautifly__0006.png,beautifly,bug,flying
beautifly__0007.png,beautifly,bug,flying
beautifly__0008.png,beautifly,bug,flying
beautifly__0009.png,beautifly,bug,flying
beautifly__0010.png,beautifly,bug,flying
beautifly__0011.png,beautifly,bug,flying
beautifly__0012.png,beautifly,bug,flying
beautifly__0013.png,beautifly,bug,flying
beautifly__0014.png,beautifly,bug,flying
beautifly__0015.png,beautifly,bug,flying
beautifly__0016.png,beautifly,bug,flying
beedrill__0000.png,beedrill,bug,poison
beedrill__0001.png,beedrill,bug,poison
beedrill__0002.png,beedrill,bug,poison
beedrill__0003.png,beedrill,bug,poison
beedrill__0004.png,beedrill,bug,poison
beedrill__0005.png,beedrill,bug,poison
beedrill__0006.png,beedrill,bug,poison
beedrill__0007.png,beedrill,bug,poison
beedrill__0008.png,beedrill,bug,poison
beedrill__0009.png,beedrill,bug,poison
beedrill__0010.png,beedrill,bug,poison
beedrill__0011.png,beedrill,bug,poison
beedrill__0012.png,beedrill,bug,poison
beedrill__0013.png,beedrill,bug,poison
beedrill__0014.png,beedrill,bug,poison
beedrill__0015.png,beedrill,bug,poison
beedrill__0016.png,beedrill,bug,poison
beedrill__0017.png,beedrill,bug,poison
beedrill__0018.png,beedrill,bug,poison
beedrill__0019.png,beedrill,bug,poison
beedrill__0020.png,beedrill,bug,poison
beedrill__0021.png,beedrill,bug,poison
beedrill__0022.png,beedrill,bug,poison
beedrill__0023.png,beedrill,bug,poison
beldum__0000.png,beldum,steel,psychic
beldum__0001.png,beldum,steel,psychic
beldum__0002.png,beldum,steel,psychic
beldum__0003.png,beldum,steel,psychic
beldum__0004.png,beldum,steel,psychic
beldum__0005.png,beldum,steel,psychic
beldum__0006.png,beldum,steel,psychic
beldum__0007.png,beldum,steel,psychic
beldum__0008.png,beldum,steel,psychic
beldum__0009.png,beldum,steel,psychic
beldum__0010.png,beldum,steel,psychic
beldum__0011.png,beldum,steel,psychic
beldum__0012.png,beldum,steel,psychic
bellossom__0000.png,bellossom,grass,
bellossom__0001.png,bellossom,grass,
bellossom__0002.png,bellossom,grass,
bellossom__0003.png,bellossom,grass,
bellossom__0004.png,bellossom,grass,
bellossom__0005.png,bellossom,grass,
bellossom__0006.png,bellossom,grass,
bellossom__0007.png,bellossom,grass,
bellossom__0008.png,bellossom,grass,
bellossom__0009.png,bellossom,grass,
bellossom__0010.png,bellossom,grass,
bellossom__0011.png,bellossom,grass,
bellossom__0012.png,bellossom,grass,
bellossom__0013.png,bellossom,grass,
bellossom__0014.png,bellossom,grass,
bellossom__0015.png,bellossom,grass,
bellossom__0016.png,bellossom,grass,
bellossom__0017.png,bellossom,grass,
bellossom__0018.png,bellossom,grass,
bellossom__0019.png,bellossom,grass,
bellossom__0020.png,bellossom,grass,
bellsprout__0000.png,bellsprout,grass,poison
bellsprout__0001.png,bellsprout,grass,poison
bellsprout__0002.png,bellsprout,grass,poison
bellsprout__0003.png,bellsprout,grass,poison
bellsprout__0004.png,bellsprout,grass,poison
bellsprout__0005.png,bellsprout,grass,poison
bellsprout__0006.png,bellsprout,grass,poison
bellsprout__0007.png,bellsprout,grass,poison
bellsprout__0008.png,bellsprout,grass,poison
bellsprout__0009.png,bellsprout,grass,poison
bellsprout__0010.png,bellsprout,grass,poison
bellsprout__0011.png,bellsprout,grass,poison
bellsprout__0012.png,bellsprout,grass,poison
bellsprout__0013.png,bellsprout,grass,poison
bewear__0000.png,bewear,normal,fighting
bewear__0001.png,bewear,normal,fighting
bewear__0002.png,bewear,normal,fighting
bewear__0003.png,bewear,normal,fighting
bewear__0004.png,bewear,normal,fighting
bewear__0005.png,bewear,normal,fighting
bewear__0006.png,bewear,normal,fighting
bewear__0007.png,bewear,normal,fighting
bewear__0008.png,bewear,normal,fighting
bewear__0009.png,bewear,normal,fighting
bewear__0010.png,bewear,normal,fighting
bewear__0011.png,bewear,normal,fighting
bewear__0012.png,bewear,normal,fighting
bewear__0013.png,bewear,normal,fighting
bewear__0014.png,bewear,normal,fighting
bewear__0015.png,bewear,normal,fighting
bewear__0016.png,bewear,normal,fighting
